Follow-Up Year,Measure,C0: Surgery and Endocrine for some ER+,C1: C0 + Endocrine for all ER+,C2: C1 plus Chemo for ER-,C3: C2 plus Chemo for Advanced ER+,C4: C1 plus downstaging to 35% advanced,C5: C2 plus downstaging to 35% advanced,C6: C3 plus downstaging to 35% advanced,C7: C1 plus downstaging to 30% advanced,C8: C2 plus downstaging to 30% advanced,C9: C3 plus downstaging to 30% advanced
5,Cumulative BC Incidence,"864 (808, 907)",,,,,,,,,
,Cumulative BC Mortality,"126 (105, 145)","114 (92, 130)","115 (94, 136)","113 (97, 128)","100 (81, 116)","100 (82, 120)","98 (81, 114)","93 (77, 108)","92 (76, 113)","91 (77, 106)"
,% Incident Surviving,"85.4 (83.1, 87.7)","86.8 (84.9, 89.1)","86.7 (84.5, 88.7)","86.9 (84.9, 88.6)","88.4 (86.5, 90.4)","88.4 (86.4, 90.3)","88.7 (86.8, 90.2)","89.2 (87.1, 91.1)","89.3 (87.2, 90.9)","89.4 (87.5, 91)"
,MRR,"1 (1, 1)","0.91 (0.71, 1.13)","0.92 (0.72, 1.19)","0.9 (0.73, 1.12)","0.8 (0.64, 0.99)","0.8 (0.63, 1.02)","0.78 (0.61, 0.95)","0.74 (0.58, 0.92)","0.74 (0.58, 0.98)","0.73 (0.56, 0.96)"
,ARR,"0 (0, 0)","12 (-14, 40)","12 (-20, 39)","14 (-14, 37)","26 (1, 51)","26 (-3, 52)","28 (5, 53)","33 (8, 60)","34 (2, 58)","35 (5, 60)"
,Years of Life Saved,"0 (0, 0)","24 (-38, 86)","23 (-39, 79)","26 (-33, 75)","47 (-16, 105)","48 (-13, 101)","51 (-2, 101)","60 (-4, 120)","61 (6, 113)","62 (6, 110)"
10,Cumulative BC Incidence,"1767 (1691, 1854)",,,,,,,,,
,Cumulative BC Mortality,"424 (377, 456)","393 (355, 437)","394 (360, 432)","388 (351, 422)","347 (316, 386)","348 (313, 385)","343 (306, 375)","325 (292, 362)","325 (293, 359)","319 (289, 356)"
,% Incident Surviving,"76 (74.5, 78.4)","77.8 (75.7, 79.7)","77.7 (76.1, 79.7)","78 (76.5, 79.7)","80.4 (78.3, 82.1)","80.3 (78.4, 82.5)","80.6 (79, 82.1)","81.6 (79.8, 83.4)","81.6 (80, 83.3)","81.9 (79.9, 83.4)"
,MRR,"1 (1, 1)","0.93 (0.84, 1.07)","0.93 (0.83, 1.03)","0.92 (0.83, 1.02)","0.82 (0.73, 0.95)","0.82 (0.75, 0.91)","0.81 (0.73, 0.9)","0.77 (0.69, 0.9)","0.77 (0.69, 0.88)","0.75 (0.68, 0.85)"
,ARR,"0 (0, 0)","32 (-29, 70)","30 (-11, 70)","36 (-6, 73)","77 (19, 122)","76 (34, 111)","81 (38, 118)","99 (39, 135)","100 (47, 135)","105 (61, 141)"
,Years of Life Saved,"0 (0, 0)","122 (-68, 302)","116 (-100, 307)","139 (-53, 308)","286 (100, 462)","283 (46, 468)","304 (96, 463)","367 (152, 548)","371 (128, 574)","387 (183, 551)"
20,Cumulative BC Incidence,"3578 (3481, 3691)",,,,,,,,,
,Cumulative BC Mortality,"1181 (1100, 1250)","1115 (1047, 1183)","1106 (1045, 1172)","1097 (1042, 1161)","1003 (939, 1068)","991 (932, 1052)","985 (930, 1041)","947 (886, 1002)","936 (884, 998)","929 (871, 983)"
,% Incident Surviving,"67 (65, 68.8)","68.8 (67.5, 70.7)","69.1 (67.8, 70.4)","69.3 (67.7, 70.9)","72 (70.6, 73.6)","72.3 (70.9, 73.7)","72.5 (70.9, 73.8)","73.5 (72.1, 75.1)","73.8 (72.7, 75.2)","74 (72.3, 75.6)"
,MRR,"1 (1, 1)","0.94 (0.89, 1)","0.94 (0.89, 0.99)","0.93 (0.88, 0.99)","0.85 (0.8, 0.9)","0.84 (0.79, 0.89)","0.83 (0.79, 0.88)","0.8 (0.75, 0.85)","0.79 (0.76, 0.84)","0.79 (0.74, 0.84)"
,ARR,"0 (0, 0)","66 (-1, 134)","75 (11, 128)","84 (15, 146)","179 (114, 244)","190 (121, 252)","197 (131, 250)","234 (170, 307)","246 (178, 294)","252 (178, 316)"
,Years of Life Saved,"0 (0, 0)","537 (98, 1072)","566 (-3, 1106)","669 (208, 1068)","1396 (837, 1953)","1435 (832, 1992)","1518 (996, 1959)","1795 (1294, 2321)","1865 (1237, 2340)","1940 (1443, 2349)"
