"Country","Measure","variable","100 sims","50 sims"
"Colombia","% Incident Surviving","C0: Surgery and Endocrine for some ER+","76 (74.5, 78.4)","75.8 (74.3, 77.8)"
"Colombia","% Incident Surviving","C1: C0 + Endocrine for all ER+","77.8 (75.7, 79.7)","77.5 (75.9, 79.1)"
"Colombia","% Incident Surviving","C2: C1 plus Chemo for ER-","77.7 (76.1, 79.7)","77.8 (76.3, 79.3)"
"Colombia","% Incident Surviving","C3: C2 plus Chemo for Advanced ER+","78 (76.5, 79.7)","77.8 (76, 79.1)"
"Colombia","% Incident Surviving","C4: C1 plus downstaging to 35% advanced","80.4 (78.3, 82.1)","80.1 (78.5, 81.5)"
"Colombia","% Incident Surviving","C5: C2 plus downstaging to 35% advanced","80.3 (78.4, 82.5)","80.4 (79, 81.9)"
"Colombia","% Incident Surviving","C6: C3 plus downstaging to 35% advanced","80.6 (79, 82.1)","80.4 (78.4, 81.9)"
"Colombia","% Incident Surviving","C7: C1 plus downstaging to 30% advanced","81.6 (79.8, 83.4)","81.5 (79.7, 83)"
"Colombia","% Incident Surviving","C8: C2 plus downstaging to 30% advanced","81.6 (80, 83.3)","81.8 (80.3, 83.4)"
"Colombia","% Incident Surviving","C9: C3 plus downstaging to 30% advanced","81.9 (79.9, 83.4)","81.7 (80, 83.1)"
"Colombia","ARR","C0: Surgery and Endocrine for some ER+","0 (0, 0)","0 (0, 0)"
"Colombia","ARR","C1: C0 + Endocrine for all ER+","32 (-29, 70)","31 (-4, 67)"
"Colombia","ARR","C2: C1 plus Chemo for ER-","30 (-11, 70)","35 (-5, 70)"
"Colombia","ARR","C3: C2 plus Chemo for Advanced ER+","36 (-6, 73)","35 (-26, 65)"
"Colombia","ARR","C4: C1 plus downstaging to 35% advanced","77 (19, 122)","76 (38, 111)"
"Colombia","ARR","C5: C2 plus downstaging to 35% advanced","76 (34, 111)","82 (41, 114)"
"Colombia","ARR","C6: C3 plus downstaging to 35% advanced","81 (38, 118)","81 (26, 112)"
"Colombia","ARR","C7: C1 plus downstaging to 30% advanced","99 (39, 135)","100 (65, 133)"
"Colombia","ARR","C8: C2 plus downstaging to 30% advanced","100 (47, 135)","106 (64, 142)"
"Colombia","ARR","C9: C3 plus downstaging to 30% advanced","105 (61, 141)","104 (54, 133)"
"Colombia","Cumulative BC Incidence","C0: Surgery and Endocrine for some ER+","1767 (1691, 1854)","1767 (1711, 1817)"
"Colombia","Cumulative BC Incidence","C1: C0 + Endocrine for all ER+","",""
"Colombia","Cumulative BC Incidence","C2: C1 plus Chemo for ER-","",""
"Colombia","Cumulative BC Incidence","C3: C2 plus Chemo for Advanced ER+","",""
"Colombia","Cumulative BC Incidence","C4: C1 plus downstaging to 35% advanced","",""
"Colombia","Cumulative BC Incidence","C5: C2 plus downstaging to 35% advanced","",""
"Colombia","Cumulative BC Incidence","C6: C3 plus downstaging to 35% advanced","",""
"Colombia","Cumulative BC Incidence","C7: C1 plus downstaging to 30% advanced","",""
"Colombia","Cumulative BC Incidence","C8: C2 plus downstaging to 30% advanced","",""
"Colombia","Cumulative BC Incidence","C9: C3 plus downstaging to 30% advanced","",""
"Colombia","Cumulative BC Mortality","C0: Surgery and Endocrine for some ER+","424 (377, 456)","428 (392, 461)"
"Colombia","Cumulative BC Mortality","C1: C0 + Endocrine for all ER+","393 (355, 437)","397 (369, 430)"
"Colombia","Cumulative BC Mortality","C2: C1 plus Chemo for ER-","394 (360, 432)","393 (355, 430)"
"Colombia","Cumulative BC Mortality","C3: C2 plus Chemo for Advanced ER+","388 (351, 422)","393 (364, 423)"
"Colombia","Cumulative BC Mortality","C4: C1 plus downstaging to 35% advanced","347 (316, 386)","352 (325, 383)"
"Colombia","Cumulative BC Mortality","C5: C2 plus downstaging to 35% advanced","348 (313, 385)","346 (315, 371)"
"Colombia","Cumulative BC Mortality","C6: C3 plus downstaging to 35% advanced","343 (306, 375)","346 (323, 381)"
