"Follow-Up Year","Measure","E0: Surgery only","E1: Endocrine for ER+","E2: E1 plus Chemo for ER-","E3: E2 plus Chemo for Advanced ER+","E4: E1 plus downstaging to 60% advanced","E5: E2 plus downstaging to 60% advanced","E6: E3 plus downstaging to 60% advanced","E7: E1 plus downstaging to 35% advanced","E8: E2 plus downstaging to 35% advanced","E9: E3 plus downstaging to 35% advanced"
"5","Cumulative BC Incidence","260 (235, 283)","","","","","","","","",""
"","Cumulative BC Mortality","79 (65, 99)","72 (59, 94)","63 (48, 76)","60 (48, 75)","63 (52, 84)","55 (39, 67)","54 (43, 67)","52 (41, 69)","45 (34, 56)","44 (31, 58)"
"","% Incident Surviving","69.5 (64, 73.7)","72.3 (66.8, 76.2)","75.9 (71.5, 80.9)","76.8 (71.3, 81.2)","75.7 (70.2, 79)","79 (74.5, 83.8)","79.2 (74.6, 84.2)","80 (75.5, 83.6)","82.8 (78.3, 87.1)","83.2 (77.7, 87.9)"
"","MRR","1 (1, 1)","0.91 (0.71, 1.17)","0.79 (0.65, 0.99)","0.77 (0.62, 0.97)","0.8 (0.63, 1.02)","0.69 (0.54, 0.88)","0.69 (0.54, 0.89)","0.66 (0.51, 0.87)","0.57 (0.45, 0.73)","0.56 (0.39, 0.76)"
"","ARR","0 (0, 0)","7 (-13, 28)","17 (1, 32)","19 (2, 34)","16 (-1, 35)","25 (9, 41)","25 (8, 42)","27 (9, 48)","35 (18, 53)","36 (17, 52)"
"","Years of Life Saved","0 (0, 0)","15 (-42, 53)","33 (-4, 67)","37 (-7, 77)","28 (-25, 63)","47 (9, 84)","49 (5, 90)","50 (-3, 86)","65 (29, 105)","65 (22, 105)"
"10","Cumulative BC Incidence","619 (581, 661)","","","","","","","","",""
"","Cumulative BC Mortality","278 (250, 305)","258 (230, 288)","233 (206, 254)","223 (192, 251)","230 (204, 259)","208 (185, 226)","200 (172, 230)","193 (167, 215)","173 (150, 194)","169 (137, 195)"
"","% Incident Surviving","55.1 (51.3, 59)","58.4 (53.4, 62.1)","62.4 (60, 65.2)","64 (60, 68)","62.9 (58.6, 66.1)","66.5 (63.5, 69.4)","67.7 (64.2, 71.5)","68.8 (65.1, 71.8)","72.1 (68.9, 74.7)","72.8 (68.7, 76.9)"
"","MRR","1 (1, 1)","0.93 (0.85, 1.03)","0.84 (0.75, 0.91)","0.8 (0.72, 0.88)","0.83 (0.75, 0.93)","0.75 (0.69, 0.82)","0.72 (0.64, 0.81)","0.7 (0.61, 0.78)","0.62 (0.56, 0.68)","0.61 (0.53, 0.68)"
"","ARR","0 (0, 0)","21 (-9, 44)","45 (23, 74)","55 (35, 79)","48 (17, 74)","71 (47, 95)","78 (53, 98)","85 (56, 114)","105 (82, 129)","110 (87, 136)"
"","Years of Life Saved","0 (0, 0)","83 (-55, 223)","178 (84, 264)","219 (103, 344)","182 (44, 331)","269 (162, 354)","297 (171, 420)","314 (200, 448)","396 (302, 503)","412 (282, 534)"
"20","Cumulative BC Incidence","1585 (1533, 1655)","","","","","","","","",""
"","Cumulative BC Mortality","898 (833, 946)","839 (788, 890)","787 (734, 840)","758 (694, 812)","766 (717, 819)","717 (667, 764)","693 (636, 746)","671 (624, 709)","618 (571, 670)","604 (546, 651)"
"","% Incident Surviving","43.4 (41.2, 46.2)","47.1 (44.5, 49.8)","50.3 (48.1, 52.6)","52.2 (49.8, 55.2)","51.7 (49.3, 54)","54.8 (52.8, 56.8)","56.3 (54, 58.9)","57.7 (55.8, 60.5)","61 (58.6, 63.3)","61.9 (60, 64.5)"
"","MRR","1 (1, 1)","0.94 (0.9, 0.97)","0.88 (0.84, 0.92)","0.84 (0.79, 0.89)","0.85 (0.82, 0.89)","0.8 (0.76, 0.84)","0.77 (0.72, 0.82)","0.75 (0.72, 0.78)","0.69 (0.65, 0.72)","0.67 (0.63, 0.71)"
"","ARR","0 (0, 0)","58 (27, 94)","110 (71, 149)","140 (95, 185)","131 (98, 169)","180 (140, 220)","205 (154, 246)","226 (194, 266)","279 (239, 324)","293 (246, 326)"
"","Years of Life Saved","0 (0, 0)","432 (93, 682)","887 (632, 1299)","1098 (867, 1385)","990 (629, 1265)","1409 (1164, 1814)","1575 (1292, 1834)","1726 (1395, 2017)","2152 (1851, 2522)","2239 (1967, 2514)"
