regno,description,desc_trim,abbrev,filen,country,county,years
14540199,"                                                  Malawi, Blantyre (2003-2007)","Malawi, Blantyre (2003-2007)",mal,14540199_mal.csv,Malawi,Blantyre,2003-2007
17100199,"                                              South Africa, PROMEC (2003-2007)","South Africa, PROMEC (2003-2007)",saf,17100199_saf.csv,South Africa,PROMEC,2003-2007
17160270,"                                         Zimbabwe, Harare: African (2003-2006)","Zimbabwe, Harare: African (2003-2006)",zim,17160270_zim.csv,Zimbabwe,Harare: African,2003-2006
17880299,"                                                    Tunisia, North (2003-2005)","Tunisia, North (2003-2005)",tun,17880299_tun.csv,Tunisia,North,2003-2005
18000299,"                                           Uganda, Kyadondo County (2003-2007)","Uganda, Kyadondo County (2003-2007)",uga,18000299_uga.csv,Uganda,Kyadondo County,2003-2007
20320199,"                                           Argentina, Bahía Blanca (2003-2007)","Argentina, Bahía Blanca (2003-2007)",arg1,20320199_arg1.csv,Argentina (Bahla Blanca),Bahla Blanca,2003-2007
20320699,"                                                Argentina, Córdoba (2004-2007)","Argentina, Córdoba (2004-2007)",arg2,20320699_arg2.csv,Argentina (Curdoba),Curdoba,2004-2007
20320799,"                                                Argentina, Mendoza (2003-2007)","Argentina, Mendoza (2003-2007)",arg3,20320799_arg3.csv,Argentina (Mendoza),Mendoza,2003-2007
20320899,"                                       Argentina, Tierra del Fuego (2003-2007)","Argentina, Tierra del Fuego (2003-2007)",arg4,20320899_arg4.csv,Argentina (Tierra del Fuego),Tierra del Fuego,2003-2007
20760199,"                                                 Brazil, Fortaleza (2003-2006)","Brazil, Fortaleza (2003-2006)",bra1,20760199_bra1.csv,Brazil (Fortaleza),Fortaleza,2003-2006
20760299,"                                                   Brazil, Goiânia (2003-2007)","Brazil, Goiânia (2003-2007)",bra2,20760299_bra2.csv,Brazil (Goinia),Goinia,2003-2007
20760899,"                                                 Brazil, São Paulo (2003-2007)","Brazil, São Paulo (2003-2007)",bra3,20760899_bra3.csv,Brazil (Sao Paulo),Sao Paulo,2003-2007
20761099,"                                                    Brazil, Cuiabá (2003-2006)","Brazil, Cuiabá (2003-2006)",bra4,20761099_bra4.csv,Brazil (Cuiabo),Cuiabo,2003-2006
20761199,"                                                   Brazil, Aracaju (2003-2006)","Brazil, Aracaju (2003-2006)",bra5,20761199_bra5.csv,Brazil (Aracaju),Aracaju,2003-2006
20761899,"                                            Brazil, Belo Horizonte (2003-2005)","Brazil, Belo Horizonte (2003-2005)",bra6,20761899_bra6.csv,Brazil (Belo  Horizonte),Belo  Horizonte,2003-2005
21520199,"                                                   Chile, Valdivia (2003-2007)","Chile, Valdivia (2003-2007)",chi1,21520199_chi1.csv,Chile (Valdivia),Valdivia,2003-2007
21520299,"                                           Chile, Bío Bío Province (2003-2007)","Chile, Bío Bío Province (2003-2007)",chi2,21520299_chi2.csv,Chile (Blo Blo Province),Blo Blo Province,2003-2007
21520399,"                                      Chile, Region of Antofagasta (2003-2007)","Chile, Region of Antofagasta (2003-2007)",chi3,21520399_chi3.csv,Chile (Region of Antofagasta),Region of Antofagasta,2003-2007
21700199,"                                                    Colombia, Cali (2003-2007)","Colombia, Cali (2003-2007)",col1,21700199_col1.csv,Colombia (Cali),Cali,2003-2007
21700299,"                                             Colombia, Bucaramanga (2003-2007)","Colombia, Bucaramanga (2003-2007)",col2,21700299_col2.csv,Colombia (Bucaramanga),Bucaramanga,2003-2007
21700399,"                                               Colombia, Manizales (2003-2007)","Colombia, Manizales (2003-2007)",col3,21700399_col3.csv,Colombia (Manizales),Manizales,2003-2007
21700499,"                                                   Colombia, Pasto (2003-2007)","Colombia, Pasto (2003-2007)",col4,21700499_col4.csv,Colombia (Pasto),Pasto,2003-2007
21880099,                                                        Costa Rica (2003-2007),Costa Rica (2003-2007),cor,21880099_cor.csv,Costa Rica,,2003-2007
21920199,"                                                 Cuba, Villa Clara (2004-2007)","Cuba, Villa Clara (2004-2007)",cub,21920199_cub.csv,Cuba,Villa Clara,2004-2007
22180199,"                                                    Ecuador, Quito (2003-2007)","Ecuador, Quito (2003-2007)",ecu1,22180199_ecu1.csv,Ecuador,Quito,2003-2007
22180299,"                                                   Ecuador, Cuenca (2003-2007)","Ecuador, Cuenca (2003-2007)",ecu2,22180299_ecu2.csv,Ecuador,Cuenca,2003-2007
